40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
40.00000;-8.0000;0.100;1.000;
